,MLA Name,MLA Parameters,MLA Train Accuracy Mean,MLA Train Accuracy Mean,MLA Test Accuracy 3*STD,MLA Time,MLA Test Accuracy Mean
20,QuadraticDiscriminantAnalysis,"{'priors': None, 'reg_param': 0.0, 'store_covariance': False, 'tol': 0.0001}",0.81928839,0.81928839,0.080876381,0.001557899,0.802238806
3,GradientBoostingClassifier,"{'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'auto', 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.909925094,0.909925094,0.046747641,0.04688561,0.797014925
4,RandomForestClassifier,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 'warn', 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.976404494,0.976404494,0.059906365,0.009373307,0.78880597
19,LinearDiscriminantAnalysis,"{'n_components': None, 'priors': None, 'shrinkage': None, 'solver': 'svd', 'store_covariance': False, 'tol': 0.0001}",0.791198502,0.791198502,0.038141922,0.003129888,0.78619403
8,RidgeClassifierCV,"{'alphas': array([ 0.1,  1. , 10. ]), 'class_weight': None, 'cv': None, 'fit_intercept': True, 'normalize': False, 'scoring': None, 'store_cv_values': False}",0.79082397,0.79082397,0.038857959,0.006254411,0.785447761
2,ExtraTreesClassifier,"{'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 'warn', 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",1,1,0.05494205,0.012505794,0.783955224
6,LogisticRegressionCV,"{'Cs': 10, 'class_weight': None, 'cv': 'warn', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1.0, 'l1_ratios': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'refit': True, 'scoring': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0}",0.791198502,0.791198502,0.069040943,0.321890593,0.782089552
1,BaggingClassifier,"{'base_estimator': None, 'bootstrap': True, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 10, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.978464419,0.978464419,0.044901876,0.015626287,0.775746269
0,AdaBoostClassifier,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 1.0, 'n_estimators': 50, 'random_state': None}",0.82752809,0.82752809,0.076742402,0.039057851,0.77238806
11,BernoulliNB,"{'alpha': 1.0, 'binarize': 0.0, 'class_prior': None, 'fit_prior': True}",0.779400749,0.779400749,0.058861866,0.001561403,0.766791045
